Electoral_Dist,Year,Poll_Div,Poll_Station,Poll_Road,Poll_Location ,Census_Poll_Location,PNM,UNC,COP,TOP,STAR,NNV,John_IND,Rejected_Ballots,Tot_Ballots_Cast,Registered_Voters
Barataria/San Juan,2010,1430,ARANGUEZ TIA PRIMARY SCHOOL ,41 BOUNDARY ROAD ,SAN JUAN ,ARANGUEZ,95,304,0,0,0,0,0,2,401,577
Barataria/San Juan,2010,1431,ARANGUEZ NORTH SECONDARY SCHOOL ,BOUNDARY ROAD EXTENSION ,SAN JUAN ,ARANGUEZ,110,279,0,0,0,0,0,2,391,588
Barataria/San Juan,2010,1432,ARANGUEZ NORTH SECONDARY SCHOOL ,BOUNDARY ROAD EXTENSION ,SAN JUAN ,ARANGUEZ,127,212,0,0,0,0,0,1,340,470
Barataria/San Juan,2010,1445,GHANDI MEMORIAL VEDIC SCHOOL ,LOT 24 ARANGUEZ MAIN ROAD ,ARANGUEZ,ARANGUEZ,19,189,0,0,0,0,0,1,209,276
St. Joseph,2010,,Ghandi Memorial Vedic School,,Aranguez,ARANGUEZ,118,361,0,0,,,,,,
St. Joseph,2010,,Ghandi Memorial Vedic School,,Aranguez,ARANGUEZ,18,203,0,0,,,,,,
St. Joseph,2010,,Aranguez Government Primary School,,Aranguez,ARANGUEZ,249,517,0,0,,,,,,
St. Joseph,2010,,Aranguez Government Primary School,,Aranguez,ARANGUEZ,30,384,0,0,,,,,,
St. Joseph,2010,,Aranguez North Secondary School,,Aranguez,ARANGUEZ,41,410,0,0,,,,,,
St. Joseph,2010,,Aranguez North Secondary School,,Aranguez,ARANGUEZ,7,428,0,0,,,,,,
St. Joseph,2010,,Aranguez North Secondary School,,Aranguez,ARANGUEZ,22,504,0,0,,,,,,
St. Joseph,2010,,Aranguez Hindu School,,Aranguez,ARANGUEZ,16,299,0,0,,,,,,
St. Joseph,2010,,Aranguez Hindu School,,Aranguez,ARANGUEZ,11,364,0,0,,,,,,
St. Joseph,2010,,Aranguez Hindu School,,Aranguez,ARANGUEZ,13,290,0,0,,,,,,
Arima,2010,1980_01,ARIMA NEW GOVERNMENT SCHOOL ,SIMONE AVENUE,Arima Proper,ARIMA PROPER,139,0,276,0,0,6,0,0,421,646
Arima,2010,1985_01,ARIMA BOYS' GOVERNMENT PRIMARY SCHOOL,KING STREET,Arima Proper,ARIMA PROPER,277,0,250,0,0,3,0,0,530,723
Arima,2010,1985_02,ARIMA BOYS' GOVERNMENT PRIMARY SCHOOL,KING STREET,Arima Proper,ARIMA PROPER,98,0,138,0,0,3,0,0,239,
Arima,2010,1995_1,ARIMA GIRLS' GOVERNMENT SCHOOL ,ST. JOSEPH STREET,Arima Proper,ARIMA PROPER,156,0,137,0,0,4,0,4,301,522
Arima,2010,1996,ARIMA GIRLS' GOVERNMENT SCHOOL ,ST. JOSEPH STREET,Arima Proper,ARIMA PROPER,160,0,156,0,0,9,0,0,325,508
Arima,2010,2000_01,ARIMA GIRLS' GOVERNMENT SCHOOL ,ST. JOSEPH STREET,Arima Proper,ARIMA PROPER,127,0,148,0,0,3,0,1,279,841
Arima,2010,2000_02,ARIMA GIRLS' GOVERNMENT SCHOOL ,ST. JOSEPH STREET,Arima Proper,ARIMA PROPER,127,0,162,0,0,5,0,2,296,
Arima,2010,2005_01,ARIMA BOYS' R.C. SCHOOL,SANCHEZ STREET,Arima Proper,ARIMA PROPER,144,0,201,0,0,3,0,2,350,555
Arima,2010,2010_01,ARIMA BOYS' R.C. SCHOOL,SANCHEZ STREET,Arima Proper,ARIMA PROPER,77,0,69,0,0,3,0,0,149,261
Arima,2010,2015,ARIMA GIRLS' R.C. PRIMARY SCHOOL,COR. CHURCH & WOODFORD STREETS,Arima Proper,ARIMA PROPER,33,0,84,0,0,0,0,0,117,184
Arima,2010,2020,ARIMA GIRLS' R.C. PRIMARY SCHOOL,COR. CHURCH & WOODFORD STREETS,Arima Proper,ARIMA PROPER,99,0,118,0,0,2,0,1,220,358
Arima,2010,2025,ARIMA BOYS' R.C. SCHOOL,SANCHEZ STREET,Arima Proper,ARIMA PROPER,30,0,68,0,0,0,0,1,99,165
Arima,2010,2030,ARIMA HINDU PRIMARY SCHOOL,TEMPLE STREET,Arima Proper,ARIMA PROPER,110,0,175,0,0,3,0,0,288,420
Arima,2010,2035_01,ARIMA HINDU PRIMARY SCHOOL,TEMPLE STREET,Arima Proper,ARIMA PROPER,61,0,151,0,0,1,0,2,215,788
Arima,2010,2035_02,ARIMA HINDU PRIMARY SCHOOL,TEMPLE STREET,Arima Proper,ARIMA PROPER,104,0,160,0,0,6,0,0,270,
Arima,2010,2040,ARIMA CENTRAL SECONDARY SCHOOL ,ROBERT STREET,Arima Proper,ARIMA PROPER,155,0,194,0,0,1,0,0,350,525
Arima,2010,2041_01,ARIMA CENTRAL SECONDARY SCHOOL ,ROBERT STREET,Arima Proper,ARIMA PROPER,137,0,133,0,0,2,0,1,273,862
Arima,2010,2041_02,ARIMA CENTRAL SECONDARY SCHOOL ,ROBERT STREET,Arima Proper,ARIMA PROPER,145,0,156,0,0,3,0,2,306,
Arima,2010,2091,ARIMA NEW GOVERNMENT SCHOOL ,SIMONE AVENUE,ARIMA,ARIMA PROPER,158,0,182,0,0,3,0,3,346,526
Arima,2010,2094_01,MT. ZION BAPTIST CHURCH ,"COR. PUNNETTE AVE. & MT. ZION ROAD, MATURITA ",ARIMA,ARIMA PROPER,181,0,139,0,0,6,0,4,330,1627
Arima,2010,2094_02,MT. ZION BAPTIST CHURCH ,"COR. PUNNETTE AVE. & MT. ZION ROAD, MATURITA ",ARIMA,ARIMA PROPER,166,0,142,0,0,4,0,1,313,
Arima,2010,2094_03,MT. ZION BAPTIST CHURCH ,"COR. PUNNETTE AVE. & MT. ZION ROAD, MATURITA ",ARIMA,ARIMA PROPER,129,0,165,0,0,4,0,0,298,
Arima,2010,2096_01,ARIMA CENTENARY GOVT PRIMARY SCHOOL,EL CARMEN STREET,ARIMA,ARIMA PROPER,127,0,144,0,0,2,0,2,275,959
Arima,2010,2096_02,ARIMA CENTENARY GOVT PRIMARY SCHOOL,EL CARMEN STREET,ARIMA,ARIMA PROPER,123,0,176,0,0,3,0,1,303,
Arima,2010,2097_01,ARIMA CENTENARY GOVT PRIMARY SCHOOL,EL CARMEN STREET,ARIMA,ARIMA PROPER,104,0,96,0,0,7,0,2,209,829
Arima,2010,2097_02,ARIMA CENTENARY GOVT PRIMARY SCHOOL,EL CARMEN STREET,ARIMA,ARIMA PROPER,108,0,96,0,0,4,0,1,209,
D'Abadie/O'Meara,2010,1960_01,Ministry of Works and Transport,"St. George East, O'Meara Road",Arima,ARIMA PROPER,253,0,299,0,0,0,0,2,554,1651
D'Abadie/O'Meara,2010,1960_02,Ministry of Works and Transport,"St. George East, O'Meara Road",Arima,ARIMA PROPER,191,0,141,0,0,0,0,2,334,
D'Abadie/O'Meara,2010,1960_03,Ministry of Works and Transport,"St. George East, O'Meara Road",Arima,ARIMA PROPER,199,0,139,0,0,0,0,5,343,
D'Abadie/O'Meara,2010,1961_01,Ministry of Works and Transport,"St. George East, O'Meara Road",Arima,ARIMA PROPER,188,0,218,0,0,0,0,4,410,
D'Abadie/O'Meara,2010,1961_02,Ministry of Works and Transport,"St. George East, O'Meara Road",Arima,ARIMA PROPER,122,0,218,0,0,0,0,0,340,980
D'Abadie/O'Meara,2010,1966_01,Arima Presbytarian Primary School,Tupuna Road,Arima,ARIMA PROPER,172,0,55,0,0,0,0,1,228,822
D'Abadie/O'Meara,2010,1966_02,Arima Presbytarian Primary School,Tupuna Road,Arima,ARIMA PROPER,175,0,97,0,0,0,0,0,272,
D'Abadie/O'Meara,2010,1975,Arima Regional Life Centre,,Arima,ARIMA PROPER,180,0,75,0,,,,,,
D'Abadie/O'Meara,2010,1976_01,Arima Regional Life Centre,,Arima,ARIMA PROPER,197,0,101,0,,,,,,
D'Abadie/O'Meara,2010,1976_02,Arima Regional Life Centre,,Arima,ARIMA PROPER,130,0,193,0,,,,,,
D'Abadie/O'Meara,2010,1977_01,Arima Regional Life Centre,,Arima,ARIMA PROPER,138,0,118,0,,,,,,
D'Abadie/O'Meara,2010,1977_02,Arima Regional Life Centre,,Arima,ARIMA PROPER,129,0,126,0,,,,,,
D'Abadie/O'Meara,2010,1978_01,Malabar R.C. Primary School,,Arima,ARIMA PROPER,93,0,169,0,,,,,,
D'Abadie/O'Meara,2010,1978_02,Malabar R.C. Primary School,,Arima,ARIMA PROPER,89,0,186,0,,,,,,
D'Abadie/O'Meara,2010,1979_01,Malabar R.C. Primary School,,Arima,ARIMA PROPER,113,0,226,0,,,,,,
D'Abadie/O'Meara,2010,1979_02,Malabar R.C. Primary School,,Arima,ARIMA PROPER,103,0,265,0,,,,,,
D'Abadie/O'Meara,2010,1981,Malabar R.C. Primary School,,Arima,ARIMA PROPER,92,0,238,0,,,,,,
D'Abadie/O'Meara,2010,1982,ARIMA NEW GOVERNMENT SCHOOL ,,Arima,ARIMA PROPER,75,0,205,0,,,,,,
D'Abadie/O'Meara,2010,1983,Malabar Government Primary School,,Arima,ARIMA PROPER,107,0,300,0,,,,,,
D'Abadie/O'Meara,2010,2045,ARIMA NEW GOVERNMENT SCHOOL ,,Arima,ARIMA PROPER,189,0,221,0,,,,,,
D'Abadie/O'Meara,2010,2046,Arima Presbytarian Primary School,,Arima,ARIMA PROPER,215,0,197,0,,,,,,
