comm,Census_Poll_Location,community_orignial,male,female,total,African,Caucasian,Chinese,East Indian,Indigenous,Mixed_African_ East_Indian,Mixed _Other,Portuguese,Syrian_Lebanese,other_ethnic_ group,not_stated_ethncity,unknown_ethnicity ,ANGLICAN,BAPTIST _SPIRITUAL_SHOUTER _BAPTIST,BAPTIST ,HINDUISM,ISLAM,JEHOVAHS_WITNESS,METHODIST,PENTECOSTAL_EVANGELICAL_FULL GOSPEL,MORAVIAN,ORISHA,PRESBYTERIAN_CONGREGATIONAL,RASTAFARIAN,ROMAN_CATHOLIC,SEVEN_DAY_ADVENTIST,OTHER_RELIGION,NONE_RELIGION,NOT STATED_RELIGION,UNKNOWN _RELIGION
5301,ABYSSINIA VILLAGE (Oilfield Area),5301 ABYSSINIA VILLAGE (Oilfield Area),20.489886,20.489886,40.979772,3.414981,0,0,29.596502,0,5.691635,0,0,0,0,2.276654,40.979772,0,10.244943,0,0,0,6.829962,0,0,0,3.414981,0,0,9.106616,0,0,1.138327,10.244943,40.979772
3319,ACONO VILLAGE,3319 ACONO VILLAGE,1066.627391,983.528352,2050.155743,332.396156,4.553372,0,365.408103,1.138343,54.640464,1018.816985,0,0,0,273.20232,2050.155743,37.565319,38.703662,1.138343,179.858194,23.905203,27.320232,5.691715,228.806943,0,3.415029,30.735261,5.691715,841.235477,207.178426,6.830058,66.023894,346.056272,2050.155743
4201,AGOSTINI VILLAGE (Couva/Tab/Tal),4201 AGOSTINI VILLAGE (Couva/Tab/Tal),1055.245815,1156.55852,2211.804335,462.16807,0,0,1186.15549,5.691725,285.724595,75.13077,0,1.138345,0,195.79534,2211.804335,55.778905,70.57739,13.66014,539.57553,211.73217,36.42704,10.245105,415.495925,0,9.10676,103.589395,3.415035,216.28555,35.288695,190.103615,89.929255,210.593825,2211.804335
5101,AGOSTINI VILLAGE (Mayaro/RioClaro),5101 AGOSTINI VILLAGE (Mayaro/RioClaro),235.633689,212.867149,448.500838,54.639696,0,0,201.483879,1.138327,18.213232,101.311103,0,0,2.276654,69.437947,448.500838,7.968289,38.703118,21.628213,96.757795,31.873156,0,0,84.236198,0,4.553308,12.521597,0,43.256426,9.106616,1.138327,0,96.757795,448.500838
3119,ALYCE GLEN,3119 ALYCE GLEN,373.377816,414.358308,787.736124,94.482801,89.929413,17.075205,92.206107,0,46.672227,404.113185,10.245123,3.415041,3.415041,26.181981,787.736124,64.885779,0,1.138347,14.798511,17.075205,9.106776,4.553388,39.842145,0,0,6.830082,0,566.896806,3.415041,7.968429,26.181981,25.043634,787.736124
6101,ANGLAIS SETTLEMENT,6101 ANGLAIS SETTLEMENT,195.794136,183.272418,379.066554,242.465994,1.138338,0,23.905098,0,88.790364,11.38338,0,0,0,11.38338,379.066554,40.980168,26.181774,0,0,6.830028,5.69169,0,39.84183,0,4.553352,0,1.138338,48.948534,120.663828,9.106704,9.106704,66.023604,379.066554
8101,APEX OIL FIELD,8101 APEX OIL FIELD,282.308816,300.522288,582.831104,250.43524,0,7.968394,244.74353,0,42.118654,14.798446,0,3.415026,6.830052,12.521762,582.831104,70.577204,18.213472,26.181866,147.98446,6.830052,10.245078,0,45.53368,0,10.245078,40.980312,2.276684,159.36788,3.415026,11.38342,4.553368,25.043524,582.831104
3211,ARANGUEZ,3211 ARANGUEZ,3749.701842,3654.08103,7403.782872,953.931434,23.905203,11.38343,5372.97896,6.830058,286.862436,439.400398,2.276686,3.415029,7.968401,294.830837,7403.782872,206.040083,94.482469,3.415029,3265.906067,1027.923729,85.375725,7.968401,547.542983,3.415029,37.565319,150.261276,2.276686,782.041641,88.790754,221.976885,107.004242,771.796554,7403.782872
4202,ARENA,4202 ARENA,332.39674,327.84336,660.2401,4.55338,1.138345,1.138345,564.61912,2.27669,28.458625,13.66014,0,0,0,44.395455,660.2401,6.83007,1.138345,0,368.82378,58.055595,0,5.691725,83.099185,0,0,37.565385,0,35.288695,3.415035,1.138345,12.521795,46.672145,660.2401
9601,ARGYLE / KENDAL,9601 ARGYLE / KENDAL,309.24315,316.11522,625.35837,610.468885,0,0,4.58138,0,9.16276,1.145345,0,0,0,0,625.35837,124.842605,106.517085,0,0,3.436035,51.540525,18.32552,132.86002,1.145345,0,0,1.145345,20.61621,83.610185,26.342935,29.77897,25.19759,625.35837
